                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                   1.72,                 2.2399,                0.86608,                0.99419,                0.93171,                    0.8,                 0.8583,                0.40122,                 0.8119,                    0.7,                0.71592,                0.19075,                 1.8001,                 1.5826,                0.78896,                 1.0154,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7196,                 2.1935,                 0.8559,                 1.0372,                0.93171,                    0.8,                 0.8583,                0.40122,                 0.8119,                    0.7,                0.71592,                0.19075,                 1.8001,                 1.5826,                0.78896,                 1.0154,               0.001208,               0.001208,               0.001208
                     42,                 1.6385,                 2.0014,                0.83279,                0.98826,                0.94425,                0.84709,                0.88561,                0.38629,                0.86145,                   0.65,                0.66227,                0.23481,                 1.7127,                 1.5837,                0.80753,                 1.0075,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7369,                 2.3837,                0.86213,                 1.0513,                0.88741,                 0.7887,                0.82495,                0.37088,                0.88741,                 0.7887,                0.82624,                 0.3202,                  1.635,                 1.6674,                0.79891,                0.98566,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.563,                 2.0865,                0.80793,                 1.0195,                0.88741,                 0.7887,                0.82495,                0.37088,                0.88741,                 0.7887,                0.82624,                 0.3202,                  1.635,                 1.6674,                0.79891,                0.98566,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4124,                 2.0612,                0.80034,                0.96287,                0.94418,                0.84595,                0.89724,                0.38961,                0.83314,                0.74903,                0.82627,                0.27174,                 1.5998,                  1.771,                0.76117,                0.98614,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3994,                 1.8843,                0.78135,                0.97277,                0.92578,                   0.85,                0.90963,                0.40995,                0.70145,                   0.65,                0.62891,                0.18431,                 1.6223,                 1.8315,                0.72237,                0.98867,               0.001109,               0.001109,               0.001109
                     47,                 1.6113,                 2.1847,                 0.8202,                 1.0044,                0.92578,                   0.85,                0.90963,                0.40995,                0.70145,                   0.65,                0.62891,                0.18431,                 1.6223,                 1.8315,                0.72237,                0.98867,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4736,                 2.0769,                0.80978,                 1.0144,                0.79185,                0.76127,                0.88693,                0.42463,                0.56277,                   0.65,                0.51842,                0.13332,                 1.7179,                 2.0508,                0.73489,                 1.0097,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3912,                 1.9622,                0.77777,                0.97585,                0.79077,                0.75617,                0.87081,                0.41091,                0.63515,                    0.7,                0.57461,                0.14557,                 1.7633,                 2.0376,                0.76757,                0.99351,              0.0010496,              0.0010496,              0.0010496
