xCent -- yCent -- P#0X -- P#0Y -- P#1X -- P#1Y -- P#2X -- P#2Y -- t
723 -- 303 -- 722 -- 347 -- 716 -- 327 -- 751 -- 297 -- 190.0
723 -- 306 -- 722 -- 350 -- 718 -- 331 -- 752 -- 300 -- 191.0
727 -- 310 -- 726 -- 354 -- 722 -- 335 -- 755 -- 304 -- 192.0
735 -- 304 -- 734 -- 348 -- 730 -- 329 -- 764 -- 298 -- 193.0
738 -- 305 -- 736 -- 349 -- 731 -- 329 -- 767 -- 300 -- 194.0
743 -- 314 -- 737 -- 358 -- 736 -- 338 -- 772 -- 310 -- 195.0
739 -- 314 -- 737 -- 358 -- 734 -- 339 -- 768 -- 308 -- 196.0
744 -- 311 -- 741 -- 355 -- 736 -- 335 -- 773 -- 305 -- 197.0
743 -- 314 -- 737 -- 358 -- 734 -- 338 -- 771 -- 307 -- 198.0
741 -- 357 -- 716 -- 365 -- 720 -- 370 -- 769 -- 351 -- 199.0
739 -- 358 -- 716 -- 363 -- 719 -- 372 -- 767 -- 352 -- 200.0
741 -- 348 -- 713 -- 355 -- 721 -- 363 -- 770 -- 342 -- 201.0
737 -- 349 -- 708 -- 355 -- 716 -- 363 -- 766 -- 343 -- 202.0
730 -- 338 -- 706 -- 347 -- 710 -- 353 -- 758 -- 332 -- 203.0
738 -- 332 -- 716 -- 343 -- 718 -- 347 -- 766 -- 326 -- 204.0
747 -- 318 -- 722 -- 329 -- 727 -- 333 -- 775 -- 312 -- 205.0
731 -- 324 -- 713 -- 333 -- 711 -- 339 -- 759 -- 316 -- 206.0
730 -- 312 -- 716 -- 315 -- 716 -- 315 -- 759 -- 312 -- 207.0
695 -- 286 -- 704 -- 317 -- 701 -- 309 -- 709 -- 290 -- 208.0
